IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
23.106.141.22,443,TRUE,KIX,JP,Osaka,,,AS25820
23.106.141.45,443,TRUE,KIX,JP,Osaka,,,AS25820
45.78.49.24,443,TRUE,KIX,JP,Osaka,,,AS25820
45.78.55.86,443,TRUE,KIX,JP,Osaka,,,AS25820
45.78.58.239,443,TRUE,KIX,JP,Osaka,,,AS25820
45.78.60.146,8443,TRUE,KIX,JP,Osaka,,,AS25820
74.82.192.146,443,TRUE,NRT,JP,Tokyo,,,AS21887
74.82.194.230,443,TRUE,NRT,JP,Tokyo,,,AS21887
74.82.195.58,443,TRUE,NRT,JP,Tokyo,,,AS21887
74.82.197.122,443,TRUE,NRT,JP,Tokyo,,,AS25820
74.82.198.58,443,TRUE,KIX,JP,Osaka,,,AS25820
74.82.198.138,443,TRUE,NRT,JP,Tokyo,,,AS21887
74.82.215.85,443,TRUE,NRT,JP,Tokyo,,,AS21887
74.82.221.84,443,TRUE,NRT,JP,Tokyo,,,AS25820
178.157.58.25,443,TRUE,KIX,JP,Osaka,,,AS25820
178.157.60.10,443,TRUE,LAX,US,California,,,AS25820
178.157.63.91,443,TRUE,KIX,JP,Osaka,,,AS25820
206.190.233.66,8443,TRUE,KIX,JP,Osaka,,,AS25820
206.190.237.141,443,TRUE,NRT,JP,Osaka,,,AS25820
212.50.234.94,443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.244.237,443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.245.142,443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.245.240,443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.246.229,443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.248.175,443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.249.76,8443,TRUE,KIX,JP,Osaka,,,AS25820
212.50.249.195,443,TRUE,KIX,JP,Osaka,,,AS25820
