IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
23.179.248.3,443,FALSE,,,,,,
23.179.248.3,2053,FALSE,,,,,,
23.179.248.3,2083,FALSE,,,,,,
23.179.248.3,2087,FALSE,,,,,,
23.179.248.3,2096,FALSE,,,,,,
23.179.248.3,8443,FALSE,,,,,,
23.179.248.5,443,FALSE,,,,,,
23.179.248.5,2053,FALSE,,,,,,
23.179.248.5,2083,FALSE,,,,,,
23.179.248.5,2087,FALSE,,,,,,
23.179.248.5,2096,FALSE,,,,,,
23.179.248.5,8443,FALSE,,,,,,
203.168.129.73,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.74,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.85,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.86,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.87,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.88,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.127,443,TRUE,NRT,JP,Tokyo,,,AS209242
203.168.129.128,443,TRUE,NRT,JP,Tokyo,,,AS209242
