IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
31.25.88.11,443,TRUE,FRA,DE,Hesse,,,AS41378
38.59.224.208,443,TRUE,LHR,GB,England,,,AS60024
38.59.225.26,443,TRUE,LHR,GB,England,,,AS60024
38.59.225.61,443,TRUE,LHR,GB,England,,,AS20712
38.59.226.234,443,TRUE,LHR,GB,England,,,AS60024
38.59.230.251,443,TRUE,FRA,DE,Hesse,,,AS41378
38.59.242.36,443,TRUE,SJC,US,California,,,AS41378
38.59.243.20,443,TRUE,SJC,US,California,,,AS13335
38.59.244.38,443,TRUE,SJC,US,California,,,AS41378
38.59.244.141,443,TRUE,SJC,US,California,,,AS41378
38.59.244.163,2053,TRUE,LAX,US,California,,,AS5650
38.59.246.45,443,TRUE,SJC,US,California,,,AS41378
38.59.246.161,443,TRUE,SJC,US,California,,,AS41378
38.59.249.55,8443,TRUE,SJC,US,California,,,AS41378
38.59.249.155,443,TRUE,SJC,US,California,,,AS41378
82.115.30.30,443,TRUE,FRA,DE,Hesse,,,AS41378
82.115.30.39,8443,TRUE,FRA,DE,Hesse,,,AS41378
82.115.30.216,2053,TRUE,FRA,DE,Hesse,,,AS41378
82.115.31.177,443,TRUE,FRA,DE,Hesse,,,AS9009
103.136.185.205,443,TRUE,SJC,US,California,,,AS41378
185.212.62.17,443,TRUE,LHR,GB,England,,,AS41378
185.212.62.166,443,TRUE,LHR,GB,England,,,AS41378
185.217.110.23,443,TRUE,LHR,GB,England,,,AS41378
185.217.110.143,443,TRUE,LHR,GB,England,,,AS41378
