IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
45.120.157.69,443,TRUE,NRT,JP,Tokyo,,,AS134835
45.120.159.237,8443,TRUE,KIX,JP,Osaka,,,AS134835
103.27.186.39,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.27.186.141,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.27.186.147,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.24.232,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.25.16,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.25.29,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.25.182,2083,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.25.226,8443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.25.231,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.27.26,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.85.27.115,443,TRUE,NRT,JP,Tokyo,,,AS134835
103.194.42.152,443,TRUE,NRT,JP,Tokyo,,,AS134835
185.239.224.49,443,TRUE,NRT,JP,Tokyo,,,AS134835
